label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
real,-346.22195,62.606815,15.470532,50.548313,-4.1253214,-30.642038,-26.906807,-14.419518,-10.171572,-11.520359,-28.21137,-5.255692,-19.6572,3.2029002,-9.594224,-10.875904,-4.8461514,-6.2550135,-8.468755,-5.8629622,-4.160502,-13.782747,-6.5780525,-6.117489,-11.701124,-5.114472,-2.8958085,-6.426094,-2.17563,-3.3475752,-6.0593653,0.24315308,-0.897156,2.1174092,-1.2888885,-1.8925647,-2.3732812,1.8849118,-0.37622413,6.660579
real,-316.10327,120.18907,6.1762967,1.5219498,-26.202164,-10.610514,-9.50446,-37.66853,-19.441141,4.413045,-16.578941,-9.128589,-15.323385,0.059264164,-12.60354,-8.657096,-9.01509,-2.115998,-4.842518,-9.58483,1.7579716,-4.042524,-2.5330637,0.30608162,-4.24557,2.7266793,-6.592178,-2.9495578,-4.4672084,-3.6481123,-2.293619,-4.3810716,0.5443021,1.5843465,1.790449,4.094341,-3.6266956,-1.0829709,-5.682505,2.3561995
real,-286.61353,34.66041,27.828785,38.40893,-14.240249,-27.532421,-31.152021,-11.043924,-10.429358,-0.4032244,-29.856237,-0.16684555,-12.122872,0.40232003,-7.481033,-13.738653,-5.3110137,-3.1908092,-9.146696,-2.260785,-8.994587,-8.83991,-6.4984093,-2.913331,-2.3726928,0.27137616,1.5357994,3.4358797,-2.4919648,6.7776003,-0.2751124,3.0772715,-2.2826297,1.0232395,-4.3416057,-6.5944953,0.9204963,0.16921778,-1.362508,-2.0843444
real,-351.45786,57.367104,25.991817,47.678326,-3.2990804,-30.197136,-31.85724,-25.0469,-26.326778,-2.3706777,-22.923813,-5.7320075,-21.151714,3.1502516,-12.021142,-11.15789,-10.635219,-12.381619,-2.2595441,-7.236204,-7.2088656,-2.3099775,-6.178515,0.0954537,-7.268805,-3.8369982,-3.7531893,-0.16385755,-2.997492,3.027544,-2.637987,-1.9419945,-3.6498883,1.1988708,0.5118823,0.14852223,-1.9725293,2.3208945,-0.6693683,2.980198
real,-317.8332,113.219185,-10.552312,-3.2467318,-22.017174,-21.526033,-21.014166,-22.68261,-10.40344,-2.7904844,-16.789602,-9.172017,-16.465885,2.4959562,-16.647556,-9.822059,-7.986842,-14.585842,-6.130735,-9.0116,-5.9346843,-5.246355,-9.860303,-5.993406,-4.100115,-2.294311,2.4824111,-4.335958,-9.872906,-9.841581,-8.576699,-6.1753707,-6.9902253,-4.1379304,-2.6808581,4.748138,12.276935,15.972551,11.1281,3.2484405
real,-302.57303,78.04978,0.2959051,36.314278,-8.678719,-34.353348,-18.978506,-20.569256,-18.615273,-11.545192,-26.751293,5.677824,-15.962692,-3.8750052,-4.4579787,-15.906411,-3.0711098,-9.1869755,-9.816841,-8.770171,-8.223729,-10.9108715,-10.597721,1.7377044,-3.6391053,0.10923183,0.53429174,-0.68877697,-2.3869572,2.6114864,-3.9169235,3.4875789,4.7772446,7.2218227,6.9547358,-0.16723841,-2.4873786,-1.1524295,-4.588589,0.27872092
real,-324.88562,119.50716,14.74803,-16.231358,-58.236332,-21.78249,6.72223,-20.05926,-26.885342,-12.834091,-17.436419,-3.6814587,-5.91848,-1.7232414,-14.692743,-6.0549645,-8.160718,-14.323185,-4.49667,-9.378029,-7.571926,-3.6387534,-6.5056605,-2.3592796,-6.4335113,-3.6687007,-6.438038,-5.2875366,-8.887272,-6.10713,-5.829199,2.1219285,1.623094,3.838095,3.7820914,5.9088902,-3.5388517,1.1074697,-3.2290766,3.7597435
real,-293.34262,116.58651,4.921299,-4.2669444,-36.27817,-28.913298,-4.223339,-24.462051,-17.806906,2.706415,-22.624186,-7.6931334,-13.632771,3.3197103,-15.693325,-6.344636,-13.349858,-13.275385,-6.283659,-9.870105,-8.948585,-9.152271,-11.607886,-3.3332274,-5.0705347,-1.8587196,-2.9742055,-5.6626096,-2.812097,-1.5848,4.061922,7.0013022,5.9156623,3.1834278,-6.9738007,-2.2260902,-2.5681825,0.40267557,0.030159906,-2.4307158
real,-294.70602,121.2421,-23.837107,18.710205,-15.066543,-19.661762,-8.237562,-36.842575,-20.35657,1.2717457,-14.257443,-1.5024298,-17.969982,5.37529,-13.389466,-14.031423,-3.657261,-9.418823,-2.662835,-8.846277,-4.719963,-1.0133705,-11.811369,-2.7989922,0.2584595,-5.46624,-2.132213,-4.783104,-6.451888,-2.7226448,-5.9785194,-1.8249315,-2.9872994,-5.4886303,-3.1874928,-1.5920007,0.24825715,4.7726746,3.6199868,9.123535
real,-312.89066,97.53009,5.803292,-19.719742,-16.609182,-4.2877913,-26.458626,-29.920965,-15.594308,13.606686,-19.44297,-19.112032,-7.3025675,-3.3454242,-18.811775,-5.383522,-9.2409935,-12.955925,-7.6801715,-5.91662,-9.864708,-10.1996975,-3.584126,2.9616256,3.754656,6.219719,2.4203732,-1.8501279,-9.50402,2.137453,-1.430577,0.4139273,-6.9262733,-4.4388514,-6.9072,-2.6700947,-2.377376,2.0838718,-1.8198005,-1.7952486
