label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
real,-315.8512,119.60781,-14.497633,6.915944,-34.447987,-29.081812,-9.758804,-9.604541,-5.9929485,-2.7210085,-23.050562,-0.8877031,-12.409094,3.2743402,-8.921077,-9.155433,-8.728565,-3.1358016,-3.7190826,-7.0766845,-5.3074913,-6.1218834,-8.875713,-5.001147,-3.0114522,1.4289697,-0.95528007,-2.7300856,-1.0956028,-0.31335485,-4.2847557,-2.0158596,-3.2055957,-0.9235645,-4.785016,-3.9179666,-2.457426,-0.2355467,2.980905,3.5342975,4.085246,5.9424663,0.5538261,2.1152143,-0.87324935,-2.6666832,-1.6240114,-2.061581,-1.1794713,-0.7618615,-0.5409101,-1.3057963,-1.7336024,-0.8431104,-0.43754765,-2.0231066,-1.1168298,-0.6175989,-1.1345307,1.5892876,-0.59624195,-1.5215691,-2.4362633,-1.5226548,-2.737045,-1.2803984,-2.304876,-3.8708901,-1.4334854,-1.5299464,-3.1553528,-1.6751463,-1.8870301,-1.5107783,-0.57017523,-1.1394651,-1.5538306,-1.065255,-1.0470951,-0.8911555,-0.62412167,-0.9644752,-0.24520056,-0.038220756,-0.8294648,-0.30700153,-0.78782046,-0.99622923,-1.8492717,-0.09812294,-0.1289612,-1.2666323,-1.0448217,-1.212538,-1.3179982,-0.61253643,-1.4563205,-1.6278986,-1.3475193,-1.2849772,-0.9281111,-1.2439089,-1.4754746,0.121728204,-0.611596,0.24344233,-0.3995622,-0.6482227,-0.19971748,-0.5505456,0.1099923,-0.30425406,-0.7528676,-0.54121506,-0.6165829,-0.24535432,-0.87870026,-0.7914424,-0.4322595,-1.0865856,0.03337604,-0.5865438,-0.6624516,-0.28863114,-0.19670863,-0.21639398,-0.21163267,-0.47923344
real,-303.44357,84.774086,4.9248214,10.536232,-18.274338,-30.664982,-14.840451,-2.445735,-20.096682,-3.9372234,-14.7898445,-7.854128,-13.34307,4.0337825,-7.904838,-11.736194,-8.292537,-4.41952,-7.646706,-12.0186205,-0.4065182,-9.534342,-6.61522,-4.685521,-9.552095,-8.225438,-3.6293054,-6.9192085,-5.3960223,-6.6012573,-6.8374057,-4.6923523,-2.5464003,3.9604218,4.0203056,6.7268963,2.5965176,2.3430097,-3.6019433,1.5377614,-3.0739992,5.439653,-0.068658896,4.5249796,-0.0037484022,2.4831016,2.4461775,1.6923015,-2.182437,-1.3785951,-3.1448388,3.2089744,-1.5324517,0.30690694,-2.4752593,0.46137327,-1.1834966,-1.8176093,-3.4735055,-0.59890556,-1.1024306,0.23228206,-2.6736453,-1.7988262,-3.0615456,-0.20540388,-0.878534,0.13284656,1.1263725,-1.4388996,0.5616031,0.57266307,0.4862038,-0.42887157,-0.9188804,1.5382016,1.5029892,0.54579246,-2.195586,-0.3658681,0.8641727,-0.89823526,-0.9232383,-1.0962844,-0.35677105,-0.40577036,-1.50498,-0.7743312,-0.86528635,0.28417164,-0.7168813,-0.3907784,-0.6780981,-0.12566173,0.038004603,-0.720046,-1.2682021,0.6299158,-1.0839462,-0.8366644,0.10210625,0.72470224,-0.5166333,0.7158471,0.28865016,0.20597433,-0.39318818,0.29119858,1.1485872,-0.12403247,-0.06874014,1.2276229,-0.2743806,-0.49620453,-0.46036342,-0.6114639,-0.49896803,-0.45008737,-0.05640756,-0.48162258,-0.07217436,-0.1677568,-0.14184128,-0.19036776,-0.06869843,0.48001668,0.39109445,-0.62609947
real,-301.75394,95.124916,-5.1089106,24.773851,-10.900089,-36.409744,-25.162357,-26.693094,-7.052926,-14.879055,-34.56843,8.595648,-23.39184,3.2378342,-4.3827853,-18.006641,-6.466903,-7.2975526,-2.973706,-6.784117,-5.0750155,-5.1649675,-9.308693,-3.9348211,-2.355258,-3.364914,-0.008711309,-1.7524207,-3.9038787,2.1236472,-6.8181834,-0.36602294,-3.513253,1.3091415,-0.8699975,-1.1627221,-2.4695714,1.7780988,0.86257684,-0.45190942,1.5083096,0.48276272,-0.92301834,1.4924647,-1.5526797,0.75204545,-1.94243,1.825069,0.24651822,1.969572,1.3099852,-0.62082696,-1.9016063,1.163506,-1.9102352,2.0245836,-1.8854662,0.07099244,-1.2295792,0.6478092,-1.3275883,0.60755336,-1.190438,0.29375198,-0.9189424,0.32256672,-1.9735222,0.777438,0.21415079,0.07759687,-2.1436644,-0.7901793,0.71275645,0.9254051,-0.54406315,1.0527462,-0.5403794,1.4555184,0.6242015,-0.36641753,-0.33804017,0.85265666,0.022764543,0.2179715,0.4512466,0.7766851,0.19830257,-0.123644106,-0.47432232,-0.3805509,-0.2923295,-0.19430187,-0.5388166,-0.14345942,-0.6274021,0.599329,0.0035428426,0.37737635,-0.14555044,0.50698364,0.0060187946,-0.30247834,0.67073524,0.974322,-0.36522767,-0.06835756,0.6334752,0.9228619,-0.3958204,0.2219752,0.40325013,-0.19593541,0.19054693,-0.14565922,-0.29253578,0.10432078,-0.11388833,0.080533266,-0.051072087,-0.11139267,-0.3303016,-0.12214486,0.047061533,0.032969706,0.13623826,0.17711157,-0.38234308,-0.0599564
real,-316.2178,123.4751,-19.285254,0.8931816,-11.037202,-12.125558,-19.144672,-32.288177,-17.046465,5.4133906,-18.288319,-10.91551,-14.057768,9.742878,-15.074155,-9.10321,-8.03859,-3.5923426,-4.5771985,-11.051509,-3.9899561,-3.2705896,-10.744366,-8.244571,-6.869303,-3.770486,-4.8253536,-6.768422,-6.68804,-3.3638294,-3.7450395,-0.95997936,-1.4254233,2.8236842,0.09004341,-1.6511652,-0.20167433,0.25643313,-0.4049962,0.7584451,3.161077,0.060757447,-1.8201853,-0.14423274,1.0922484,-0.11683673,-0.27694944,0.3576672,1.4287292,-0.9756688,-0.023865385,-0.7890746,-0.50703037,-0.1973047,-0.06453747,-2.1950066,-2.4081333,-1.5796939,1.7045242,-1.9053,-2.4928353,-1.2085199,1.2974741,1.8970273,-1.3832995,0.69025654,0.70136636,-0.6677077,-1.6681173,0.88454235,0.21726106,-0.90310436,-0.6942405,0.5926646,-0.64391726,1.200293,-0.26191285,0.9257373,-0.918839,-0.45221248,-0.516991,-0.06893612,-1.0179398,0.1511207,0.4541763,-0.19037133,-1.4488232,0.23995657,-0.33318096,-0.37141907,-0.7157556,0.5524032,0.56717134,-0.33785936,0.20579071,0.5135579,-0.05453765,0.60128033,-0.0879645,-1.3341472,-0.26598915,0.46675354,-0.27681786,0.73546904,0.47304544,0.33789426,-0.05626492,-0.40594852,0.20668618,0.3826355,0.8154541,0.05812766,0.46465924,-0.31572458,0.51583534,0.43537053,0.51606625,-0.30191064,0.22564866,0.88499963,-0.6029698,-0.10488475,0.10852853,0.11675971,0.45409527,0.28661758,0.24982911,0.47531515
real,-276.8709,97.36194,4.782159,-31.076492,-28.7656,-17.337528,-24.715609,-15.97442,-19.733353,0.7963373,-14.1198435,-12.094783,-10.993803,0.71592087,-11.299095,-15.764999,-6.44493,-1.2192283,-2.4216657,-9.080175,1.7720846,-3.8390236,-2.3188946,-2.1950088,-0.5126464,3.048789,-1.4833554,-1.0937382,-3.97951,-2.0964098,-3.9676664,-2.9838648,-4.6794724,0.36401498,-4.520495,0.18401407,-4.4367156,-1.3208511,-4.995676,0.51783353,-3.3178272,-1.5720072,-3.7462149,-1.3640192,-1.5794967,-1.130432,0.071599565,0.06603098,-1.7114764,1.1417041,1.3147665,2.482013,0.080750495,-0.09260751,-1.236118,2.5298374,0.71399003,0.33789393,-0.08003187,2.5699444,0.31463075,-0.9884268,-0.117203735,2.687418,-0.07837541,1.1131755,1.8326963,0.4333903,1.6858488,1.4726449,0.5244164,0.5463232,-0.51556015,0.64514077,0.20702183,1.1041557,0.46115708,0.7933399,-0.9357478,0.65366226,-0.2652167,-1.5634805,-0.32627854,0.28496826,-0.46189198,-0.08986472,0.009283017,-0.57491976,-0.7970765,0.14597212,0.6229153,-0.2590069,-1.1065968,-0.6025634,0.23857181,-0.12481531,-0.8242034,-1.2665143,-1.2102191,-1.0634893,-0.5462061,0.01655713,0.20709452,0.373867,-0.019191189,-0.21964283,-0.28883633,-0.4700878,-0.4513404,-0.12745212,-0.040317178,0.35252386,-0.19583178,-0.27625424,-0.14255935,0.09669444,-0.024332503,-0.41229677,-0.28759098,0.22663742,-0.25280294,-0.047768805,0.012790049,0.014508079,0.54355323,0.20467669,-0.5697357,-0.19697958
real,-324.6353,84.952446,-6.555637,-0.8565392,-31.470554,-16.72075,-10.938263,-18.002981,-15.508143,10.205949,-21.095768,-11.93526,-5.733478,1.4117042,-25.31491,1.7725886,-7.3203816,-16.479433,-5.17751,-15.7565155,-4.767939,-3.5273418,-5.615973,7.455997,-3.956199,-0.29138875,5.1545315,-1.9880204,4.359653,-0.13585873,3.1087072,-1.5614214,-5.0589046,-2.0563908,-5.9015427,-6.927758,-3.4396715,-3.310192,-5.3761516,-2.6880562,0.85709774,4.2105894,-0.6595429,-2.384273,-2.3924503,-2.2826965,-1.6182743,-0.7444504,-2.1609976,-0.34317255,-0.567282,-0.059509326,-1.035393,1.0187643,0.7677498,1.0540179,0.56319314,2.6846232,3.3881538,4.666938,1.2198491,1.6988286,2.4383614,4.3649826,0.48736966,0.7015938,-0.01457352,1.2885151,1.3447399,-0.13685678,-0.44346786,1.9201579,0.52392554,1.165483,0.28727528,0.81087136,0.27764755,-0.4849605,-0.10887846,-0.75838923,1.3135281,0.8788763,-0.24389015,-0.0712577,0.4293561,0.19436233,-0.40232867,-1.5694053,-0.8475058,0.16504735,0.049064558,-0.035386894,0.19301799,-0.36427465,-0.65474546,-0.23746209,-1.0241901,-1.4097608,-1.6641891,-0.55874956,-1.542925,-0.4287135,-0.022931023,0.020187201,0.28156838,-0.41440618,-0.42278966,0.9957092,-0.84447443,-0.020498008,0.2955638,-0.18749148,0.47230482,-0.17952181,-0.4886901,-0.02431446,0.25752255,0.46929616,-0.06389415,-0.17085549,-0.34947067,0.16812678,0.13839854,-0.16427009,0.22904782,0.018746614,-0.43019184,0.46426344
real,-318.21234,84.98589,4.4535,28.40024,-13.064675,-31.626255,-17.89145,-12.31926,-26.638157,-9.991474,-14.038933,-6.069357,-19.142563,-3.0504375,-4.7319784,-13.31098,-11.355363,-5.245125,-5.9142337,-8.376144,-4.4078717,-5.04226,-9.277646,-11.834962,-8.051238,-8.036746,-5.047781,-1.213257,-0.3110193,7.450607,-0.76802415,-2.2451785,2.7806847,-0.03265485,-0.49485475,-1.3534759,-5.337841,-2.6696877,-4.5251455,0.7711081,-0.6155728,-0.04692994,-3.4617813,-0.9405333,1.5352641,1.2745042,1.2058542,1.9123564,2.8675377,4.5982885,-1.3651378,-2.5674272,-0.97136706,1.5453527,-0.15673177,1.6713941,-0.2785657,1.1339492,-1.8722695,-1.2540365,0.5435159,3.1451573,0.370104,2.064546,-0.29260498,1.513275,-0.6614079,-0.5090659,1.9631028,1.1313542,-2.2307594,1.2132263,-0.01159456,-0.31418428,-1.1129452,0.7273856,-0.18105619,-1.5912088,-1.8433492,0.13984916,-0.51611006,0.056230273,-0.3308814,0.97627974,-0.57623243,-0.9733532,-1.197591,-1.4432329,-0.025546482,0.5886065,-0.9036839,-1.3459132,0.11194332,0.1075246,0.3006586,-0.38540336,-0.15180856,-0.14170663,-0.54226416,-0.680939,-0.36529502,-0.5080003,-0.009333633,0.13048859,0.42460677,0.38646266,-0.19532928,-0.6289846,-0.27932653,0.17135498,0.05603842,0.32380047,0.15605523,-0.25231007,-0.6654627,-0.11070783,0.36452642,-0.058857158,-1.0785315,-0.6885436,-0.14670527,0.2596877,-0.07890677,0.028031826,-0.40502948,-0.1562283,0.55883,-0.08071468
real,-296.36484,68.70884,16.25704,-0.41020748,-11.122212,-6.175922,-20.275259,-25.01708,-24.910261,2.0661798,-14.422897,-10.119073,-15.010723,2.3789444,-15.761946,-12.680738,-7.50575,-3.8416321,0.6975641,-0.83140004,-0.5256024,0.6267915,-10.888398,-4.6964755,-5.028621,-2.6744432,-4.0393853,-4.0112042,0.016769959,-3.4124413,-1.2010322,1.8713403,-2.8558397,-3.329701,-3.0976553,-1.1674196,-2.7938354,-1.0137323,-1.1074418,2.4188066,-3.2479494,-0.37360543,0.7033275,4.687233,4.2031484,2.2358937,-1.7407612,-4.565294,-6.209875,-0.9991902,0.75432175,0.37614354,-3.3086474,-2.1388795,-2.2616127,2.7154696,-0.68464017,-0.16093826,-1.6651617,1.7164853,2.5499966,2.1997328,0.88212353,1.7215512,-2.206776,0.6081943,0.020510498,0.9946223,-0.03835688,-0.45487988,-0.7862404,0.3130616,-0.43194538,0.58407575,0.5894729,1.5006095,0.42645073,0.65170115,-0.7606068,-0.6332634,-0.19724809,-0.96079326,-2.4886665,-1.8259442,-1.2750627,-1.4186035,-2.3282137,-0.44282073,0.2354027,0.41906685,-0.36472395,-0.2729071,-1.3459208,-1.2437036,-0.123507716,-0.053589217,-1.3724928,-0.7299736,-1.9425064,-1.0270057,-1.2335683,-1.8953505,-1.7064484,-0.53900176,-0.38887778,-0.08192585,-0.55768937,-0.36081427,-0.39992526,-0.3302787,-0.4763049,0.1583801,-0.21965638,-0.067019604,-0.6082318,0.08538338,-0.7044759,-0.52023476,0.04514661,-0.7535871,-0.078291476,0.4916877,-0.061403852,0.52294636,0.42299336,0.52687943,0.018086687,-0.22653592
real,-345.41003,91.61702,-13.975822,18.700823,-2.6706421,-29.907467,-23.20191,-12.145303,-6.9187837,-13.881605,-25.649092,2.167034,-17.963959,2.3563962,-8.355827,-14.136583,-6.5091763,-8.212784,-4.9352903,-14.91355,-3.4738493,-11.888021,-16.36304,-4.96768,-8.311222,-5.076485,-6.4443245,-0.69104636,4.03302,12.081463,5.470659,13.202655,-0.025297523,1.8379118,-2.5438735,-1.9715098,-0.21757549,-1.9560099,-5.909015,-1.7375238,-2.075323,3.0406327,-1.6644057,-1.7624581,-3.6223183,-3.3223019,2.9816513,-4.093935,-4.5168076,-4.097086,0.11652939,-0.037918612,-2.7344618,-2.9399993,-2.3486981,1.6175218,-0.5984559,1.9821775,4.4026146,5.079237,-0.5632465,-0.97857136,0.31470746,2.2295866,-2.8013158,1.7344309,0.87864465,2.856329,-1.1260867,0.46232867,0.9602321,-0.9716574,-2.7000432,0.073274404,-0.6243872,-0.67434424,0.92099833,0.2931726,-3.356633,-1.313148,-0.122672185,-1.6429905,-0.9627006,-0.35117918,-0.36953318,-0.7179297,0.7914209,1.0582094,-0.5419271,-0.6686511,0.2415759,-0.47830206,0.5476506,0.77279145,0.12862411,0.039376404,0.7881038,0.035940766,-2.362183,-0.2482536,0.9793022,-0.19791025,0.7970895,1.3224111,-0.13056679,0.71594226,0.36966312,-0.7868916,0.11036047,0.5510868,0.6945762,0.7675521,-0.22461458,-0.7427163,-1.0979244,-0.28293526,-0.6757322,-0.32533756,-0.20104095,0.20780583,-0.5590023,-0.6377772,0.19842777,-0.24101625,-0.14875858,0.24393,0.2130068,0.6638932
real,-310.4199,103.214806,-5.2515936,-7.1315675,-14.95182,-7.7241764,-9.976541,-32.629078,-37.66305,0.17677459,-15.129375,-10.424173,-17.363476,-3.7913225,-11.882679,-12.7296295,-9.246277,-8.406489,-4.1540866,-2.8654933,-5.4550357,2.1901913,3.9616714,1.0771258,-5.9207854,-2.3114803,-1.179921,-4.907295,-3.5159173,-0.7695425,-6.219516,-1.7352408,-1.564475,-1.311535,-5.738199,-4.1398797,-6.92899,-0.65565646,-5.003594,-0.1917163,-3.1620808,2.021744,-1.403499,2.091226,-0.5573845,2.2774796,1.0771111,0.23705585,0.5653457,2.7167335,1.1559873,1.0182244,-0.7130505,0.9577449,-1.9693515,0.8832415,-1.9450625,0.80713415,-1.2506407,1.8814297,-0.18776603,2.4670446,0.762102,1.4477808,-0.4346197,1.3960153,-1.0867944,-0.5778946,-0.24207434,1.7624501,0.2707226,0.7350903,0.3673892,0.31123936,0.44159696,1.6714623,-0.00826825,1.1992394,0.31382388,-0.62507516,-0.2774993,0.55807585,-1.2046807,-1.0146734,-0.8838611,-1.3142562,-0.6913982,-0.83797246,-1.5757859,0.11094134,0.3091738,-0.02585656,0.2537758,-0.0034725855,0.093641326,0.45905188,-0.76130384,-1.0837164,-0.7075141,-0.62056947,-0.38830698,-0.4655205,-0.11770617,-0.17428564,-0.22926317,0.10863448,-0.3292621,0.18520294,-0.014887597,0.2702896,0.33653304,-0.053050462,-0.35335732,0.611563,-0.50113523,-0.32088846,-0.033005193,-0.24633569,-0.32407767,-0.7748396,-0.15258723,0.06690237,-0.3848797,0.27916098,-0.12753078,-0.03877821,0.039595474,0.61403793
