label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
real,-291.96533,111.8531,-3.2760468,-9.142947,-19.546846,-7.051019,-15.28993,-42.70961,-10.860816,2.290368,-20.51636,-5.1590414,-13.313795,2.9953375,-11.098159,-5.468717,-12.657917,-9.748369,-7.9501824,-13.512041,-11.314896,-3.6530948,-1.8966676,2.100419,-0.8921104
real,-314.13046,58.319435,15.2741375,41.81527,-16.077265,-12.502652,-25.226622,-27.550978,-13.595281,-0.16028914,-24.169342,-3.4104764,-19.909573,7.5581746,-16.0668,-12.028178,-2.7353194,-10.213748,-4.723853,-8.637505,-6.3782873,-5.073483,-12.648274,1.5187941,-4.8187456
real,-286.80048,64.9263,-5.7902627,0.01700384,-28.37016,-22.822414,-27.485933,-10.382315,-9.658283,-3.5820184,-23.981821,-2.9325104,-19.392467,-5.0105286,-3.5608807,-20.098919,-10.638509,-6.6067214,-4.046744,-11.472005,-5.4108176,2.0104835,-3.4313521,8.34514,4.8662696
real,-293.02676,85.56787,5.626573,29.029573,-17.269585,-37.293213,-12.190254,-26.921833,-25.011644,-3.0550835,-20.559017,1.6281713,-21.151308,9.425064,-13.530489,-9.5211935,-8.864149,-12.557687,-6.1441445,-11.397784,-2.8815715,-9.01025,-9.746731,-5.5710015,-8.571648
real,-314.5667,41.574978,7.6749787,42.892345,3.4613764,-10.073451,-30.070864,-18.656466,-15.36528,-1.3588234,-17.747763,-11.649153,-7.1919065,2.255,-11.542604,-4.1555696,-3.324815,-9.799706,-3.1571517,-7.8450665,-8.087588,-8.46046,-9.105733,-2.3819816,-3.211357
real,-284.59885,87.70283,-13.892061,13.209178,-21.9779,-20.150707,-9.541914,-27.00199,-9.800655,-5.057558,-22.464476,1.878757,-23.53812,8.009375,-6.6970944,-8.552198,-8.858927,-9.913214,-3.2665126,-13.885628,-5.1567907,-3.8238509,-11.715131,-3.8200948,-9.045549
real,-276.92645,126.974846,-20.547836,-5.076384,-17.35608,-18.74835,-17.651173,-32.73693,-12.673498,-4.7414465,-19.176235,-9.17212,-12.506076,7.1017213,-14.72532,-6.2135344,-8.781725,-13.904696,-7.7425647,-17.903488,-7.5172286,-7.3931704,-2.377189,-0.26284578,2.1420896
real,-310.72205,138.6007,-6.5415645,-3.8188653,-25.469618,-9.983531,-6.6840696,-29.900364,-21.391918,0.96204275,-14.9903345,-11.663218,-13.432488,10.703008,-17.621675,-11.596844,-0.9384012,-6.4758334,-7.5479007,-9.742123,-1.8687936,-2.6804178,-7.395333,-1.5304013,-3.9674537
real,-306.3524,113.977394,0.03213501,15.56774,-17.957376,-28.957863,-11.292306,-22.776228,-11.879434,-0.59511864,-21.450909,-2.7162023,-21.352392,2.079853,1.456199,-9.258332,-6.3068686,-8.32368,-2.5136497,-11.066346,-9.12893,-10.905394,-9.367233,-0.63505703,-4.3735385
real,-329.02985,125.26773,3.5292146,7.1925893,-32.92575,-21.290892,-7.5621576,-18.25716,-22.59698,0.6497866,-8.592182,-8.595989,-16.36813,5.8366065,-14.286376,-4.2740035,-8.47555,-7.957658,-5.9098263,-8.394522,2.5694513,-7.713729,-0.0054646134,-4.054307,-9.232769
real,-282.20178,77.82798,-4.9876757,-3.5242958,-25.008982,-21.736753,-12.797527,-10.967433,-20.73779,-13.210038,-8.852624,-1.5948874,-17.707146,-1.8726023,-12.97903,-5.626252,-5.9370317,-6.4250817,-3.2429852,-3.3878329,2.4109797,5.4290547,1.6465861,-5.4574237,-0.91369414
real,-324.36914,51.53463,5.959668,26.087633,-14.357786,-26.259926,-15.737658,-11.142797,-26.201431,-10.059512,-13.917598,-18.729803,-11.444827,-7.6239414,-10.130881,-10.506515,-8.623149,-0.42973253,3.0470104,-1.908675,-3.111575,-6.336724,-8.678503,-1.0768893,-9.423006
real,-281.92227,84.79459,-5.975083,-29.123266,-21.407158,-18.766302,-1.902196,-15.972275,-13.885826,5.1516957,-25.784048,-4.7156634,-17.079874,-0.4291084,-12.778743,-14.8517,-8.69157,-6.6051726,-4.9546523,3.562122,-0.36787042,-2.5089717,-4.3092604,2.7513294,-0.56517273
